Make,Vehicle Class,Engine Size(L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Model1,Model2,Transmission1,Transmission2
BUICK,MID-SIZE,3.6,6,E,19.4,13.0,16.5,17,264,LACROSSE,All-wheel drive,AS,6
BUICK,MID-SIZE,2.4,4,X,9.6,6.5,8.2,34,189,LACROSSE,Undefined,AS,6
BUICK,MID-SIZE,2.0,4,Z,11.5,7.9,9.9,29,228,REGAL,Undefined,AS,6
BUICK,MID-SIZE,2.0,4,Z,11.6,7.5,9.8,29,225,REGAL,Undefined,M,6
BUICK,MID-SIZE,2.0,4,Z,12.3,8.7,10.7,26,246,REGAL,All-wheel drive,AS,6
BUICK,MID-SIZE,2.4,4,X,9.6,6.5,8.2,34,189,REGAL,Undefined,AS,6
BUICK,COMPACT,2.0,4,Z,11.5,7.9,9.9,29,228,VERANO,Undefined,AS,6
BUICK,COMPACT,2.0,4,Z,11.6,7.5,9.8,29,225,VERANO,Undefined,M,6
BUICK,COMPACT,2.4,4,X,11.3,7.4,9.5,30,218,VERANO,Undefined,AS,6
CADILLAC,COMPACT,2.0,4,Z,11.3,7.5,9.6,29,221,ATS,Undefined,AS,6
CADILLAC,COMPACT,2.0,4,Z,12.1,7.9,10.2,28,235,ATS,Undefined,M,6
CADILLAC,COMPACT,2.5,4,X,10.5,7.2,9.0,31,207,ATS,Undefined,AS,6
CADILLAC,COMPACT,3.6,6,X,12.8,8.5,10.9,26,251,ATS,Undefined,AS,6
CADILLAC,COMPACT,2.0,4,Z,11.8,8.1,10.1,28,232,ATS,All-wheel drive,AS,6
CADILLAC,COMPACT,3.6,6,X,13.1,9.0,11.3,25,260,ATS,All-wheel drive,AS,6
CADILLAC,MID-SIZE,3.6,6,X,13.2,8.7,11.2,25,258,CTS,Undefined,AS,6
CADILLAC,MID-SIZE,3.6,6,X,13.3,9.0,11.4,25,262,CTS,All-wheel drive,AS,6
CADILLAC,MID-SIZE,2.0,4,Z,11.9,7.9,10.1,28,232,CTS,Undefined,AS,6
CADILLAC,MID-SIZE,3.6,6,X,12.9,8.2,10.8,26,248,CTS,Undefined,AS,8
CADILLAC,MID-SIZE,2.0,4,Z,12.6,8.5,10.8,26,248,CTS,All-wheel drive,AS,6
CADILLAC,MID-SIZE,3.6,6,X,13.1,9.0,11.3,25,260,CTS,All-wheel drive,AS,6
CADILLAC,MID-SIZE,3.6,6,Z,15.1,9.9,12.8,22,294,CTS,Undefined,AS,8
CADILLAC,STATION WAGON - SMALL,3.0,6,X,12.7,8.9,11.0,26,253,CTS,Undefined,AS,6
CADILLAC,STATION WAGON - SMALL,3.6,6,X,13.3,8.9,11.3,25,260,CTS,Undefined,AS,6
CADILLAC,STATION WAGON - SMALL,3.0,6,X,12.8,9.1,11.1,25,255,CTS,All-wheel drive,AS,6
CADILLAC,STATION WAGON - SMALL,3.6,6,X,13.3,9.0,11.4,25,262,CTS,All-wheel drive,AS,6
CADILLAC,MID-SIZE,6.2,8,Z,19.7,12.9,16.6,17,382,CTS-V,Undefined,AS,6
CADILLAC,MID-SIZE,6.2,8,Z,16.7,12.5,14.8,19,340,CTS-V,Undefined,M,6
CADILLAC,MID-SIZE,6.2,8,Z,19.7,12.9,16.6,17,382,CTS-V,Undefined,AS,6
CADILLAC,MID-SIZE,6.2,8,Z,16.7,12.5,14.8,19,340,CTS-V,Undefined,M,6
CADILLAC,STATION WAGON - SMALL,6.2,8,Z,19.7,12.9,16.6,17,382,CTS-V,Undefined,AS,6
CADILLAC,STATION WAGON - SMALL,6.2,8,Z,16.7,12.5,14.8,19,340,CTS-V,Undefined,M,6
CADILLAC,SUV - STANDARD,6.2,8,Z,17.0,11.8,14.7,19,338,ESCALADE,All-wheel drive,A,6
CADILLAC,SUV - STANDARD,6.2,8,E,23.3,16.1,20.1,14,322,ESCALADE,All-wheel drive,A,6
CADILLAC,SUV - STANDARD,6.2,8,Z,18.8,13.4,16.4,17,377,ESCALADE,All-wheel drive,A,6
CADILLAC,SUV - STANDARD,6.2,8,E,25.7,17.8,22.1,13,354,ESCALADE,All-wheel drive,A,6
CADILLAC,SUV - STANDARD,3.6,6,X,14.3,9.8,12.3,23,283,SRX,Undefined,AS,6
CADILLAC,SUV - STANDARD,3.6,6,X,14.8,10.4,12.8,22,294,SRX,All-wheel drive,AS,6
CADILLAC,FULL-SIZE,3.6,6,X,13.6,8.6,11.4,25,262,XTS,Undefined,AS,6
CADILLAC,FULL-SIZE,3.6,6,X,14.0,9.1,11.8,24,271,XTS,All-wheel drive,AS,6
CADILLAC,FULL-SIZE,3.6,6,Z,14.8,9.8,12.6,22,290,XTS,All-wheel drive,AS,6
CHEVROLET,COMPACT,3.6,6,X,13.2,8.7,11.2,25,258,CAMARO,Undefined,AS,6
CHEVROLET,COMPACT,3.6,6,X,14.2,8.6,11.7,24,269,CAMARO,Undefined,M,6
CHEVROLET,COMPACT,3.6,6,X,12.7,7.9,10.5,27,242,CAMARO,Undefined,AS,6
CHEVROLET,COMPACT,6.2,8,Z,15.3,9.8,12.8,22,294,CAMARO,Undefined,AS,6
CHEVROLET,COMPACT,6.2,8,Z,15.0,9.9,12.7,22,292,CAMARO,Undefined,M,6
CHEVROLET,COMPACT,6.2,8,Z,19.7,12.9,16.6,17,382,CAMARO,Undefined,AS,6
CHEVROLET,COMPACT,6.2,8,Z,16.7,12.5,14.8,19,340,CAMARO,Undefined,M,6
CHEVROLET,TWO-SEATER,6.2,8,Z,14.9,8.5,12.0,24,276,CORVETTE,Undefined,AS,6
CHEVROLET,TWO-SEATER,6.2,8,Z,13.7,8.2,11.2,25,258,CORVETTE,Undefined,M,7
CHEVROLET,MID-SIZE,1.4,4,X,9.1,6.3,7.8,36,179,CRUZE,Undefined,AS,6
CHEVROLET,MID-SIZE,1.4,4,X,9.1,6.3,7.8,36,179,CRUZE,Undefined,M,6
CHEVROLET,MID-SIZE,1.8,4,X,10.5,6.7,8.8,32,202,CRUZE,Undefined,AS,6
CHEVROLET,MID-SIZE,1.8,4,X,9.5,6.5,8.2,34,189,CRUZE,Undefined,M,6
CHEVROLET,MID-SIZE,2.0,4,D,8.7,5.1,7.1,40,192,CRUZE,Undefined,AS,6
CHEVROLET,MID-SIZE,1.4,4,X,9.1,6.0,7.7,37,177,CRUZE,Undefined,A,6
CHEVROLET,MID-SIZE,1.4,4,X,8.4,5.6,7.1,40,163,CRUZE,Undefined,M,6
CHEVROLET,SUV - SMALL,2.4,4,X,10.5,7.3,9.1,31,209,EQUINOX,Undefined,A,6
CHEVROLET,SUV - SMALL,3.6,6,X,13.9,9.6,12.0,24,276,EQUINOX,Undefined,A,6
CHEVROLET,SUV - SMALL,3.6,6,E,18.8,13.1,16.2,17,259,EQUINOX,Undefined,A,6
CHEVROLET,SUV - SMALL,2.4,4,X,11.5,8.2,10.0,28,230,EQUINOX,All-wheel drive,A,6
CHEVROLET,SUV - SMALL,3.6,6,X,14.8,9.9,12.6,22,290,EQUINOX,All-wheel drive,A,6
CHEVROLET,SUV - SMALL,3.6,6,E,19.8,13.6,17.0,17,272,EQUINOX,All-wheel drive,A,6
CHEVROLET,VAN - CARGO,4.3,6,X,17.1,12.7,15.1,19,347,EXPRESS,Undefined,A,4
CHEVROLET,VAN - CARGO,5.3,8,X,18.0,13.4,15.9,18,366,EXPRESS,Undefined,A,4
CHEVROLET,VAN - CARGO,5.3,8,E,23.5,17.7,20.9,14,334,EXPRESS,Undefined,A,4
CHEVROLET,VAN - CARGO,5.3,8,X,18.3,14.2,16.5,17,380,EXPRESS,All-wheel drive,A,4
CHEVROLET,VAN - CARGO,5.3,8,E,23.7,18.8,21.5,13,344,EXPRESS,All-wheel drive,A,4
CHEVROLET,VAN - CARGO,5.3,8,X,18.6,13.9,16.5,17,380,EXPRESS,Undefined,A,4
CHEVROLET,VAN - CARGO,5.3,8,E,23.9,18.5,21.5,13,344,EXPRESS,Undefined,A,4
CHEVROLET,VAN - CARGO,5.3,8,X,18.3,14.2,16.5,17,380,EXPRESS,All-wheel drive,A,4
CHEVROLET,VAN - CARGO,5.3,8,E,25.3,19.3,22.6,12,362,EXPRESS,All-wheel drive,A,4
CHEVROLET,VAN - PASSENGER,5.3,8,X,18.6,13.9,16.5,17,380,EXPRESS,Undefined,A,4
CHEVROLET,VAN - PASSENGER,5.3,8,E,23.9,18.5,21.5,13,344,EXPRESS,Undefined,A,4
CHEVROLET,VAN - PASSENGER,5.3,8,X,18.3,14.2,16.5,17,380,EXPRESS,All-wheel drive,A,4
CHEVROLET,VAN - PASSENGER,5.3,8,E,25.3,19.3,22.6,12,362,EXPRESS,All-wheel drive,A,4
CHEVROLET,VAN - PASSENGER,4.8,8,X,21.1,14.2,18.0,16,414,EXPRESS,Undefined,A,6
CHEVROLET,VAN - PASSENGER,6.0,8,X,21.9,15.0,18.8,15,432,EXPRESS,Undefined,A,6
CHEVROLET,VAN - PASSENGER,6.0,8,E,30.0,20.4,25.7,11,411,EXPRESS,Undefined,A,6
CHEVROLET,VAN - PASSENGER,4.8,8,X,21.3,14.3,18.2,16,419,EXPRESS,Undefined,A,6
CHEVROLET,VAN - PASSENGER,6.0,8,X,22.1,15.0,18.9,15,435,EXPRESS,Undefined,A,6
CHEVROLET,VAN - PASSENGER,6.0,8,E,30.2,20.5,25.8,11,413,EXPRESS,Undefined,A,6
CHEVROLET,FULL-SIZE,2.5,4,X,11.3,7.5,9.6,29,221,IMPALA,Undefined,AS,6
CHEVROLET,FULL-SIZE,3.6,6,X,12.6,8.2,10.6,27,244,IMPALA,Undefined,AS,6
CHEVROLET,FULL-SIZE,3.6,6,E,16.7,11.3,14.3,20,229,IMPALA,Undefined,AS,6
CHEVROLET,FULL-SIZE,2.4,4,X,10.0,7.0,8.7,32,200,IMPALA,Undefined,AS,6
CHEVROLET,MID-SIZE,2.0,4,Z,11.5,7.9,9.9,29,228,MALIBU,Undefined,AS,6
CHEVROLET,MID-SIZE,2.5,4,X,9.3,6.4,8.0,35,184,MALIBU,Undefined,AS,6
CHEVROLET,SUV - SMALL,2.4,4,X,12.2,8.6,10.6,27,244,ORLANDO,Undefined,AS,6
CHEVROLET,SUV - SMALL,2.4,4,X,11.8,8.3,10.2,28,235,ORLANDO,Undefined,M,6
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,X,13.4,9.9,11.8,24,271,SILVERADO,Undefined,A,6
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,E,18.9,14.2,16.8,17,269,SILVERADO,Undefined,A,6
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,X,14.6,10.3,12.7,22,292,SILVERADO,Undefined,A,6
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,E,19.5,13.7,16.9,17,270,SILVERADO,Undefined,A,6
CHEVROLET,PICKUP TRUCK - STANDARD,6.2,8,Z,16.3,11.4,14.1,20,324,SILVERADO,Undefined,A,6
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,X,14.2,10.6,12.6,22,290,SILVERADO,Four-wheel drive,A,6
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,E,20.0,15.1,17.8,16,285,SILVERADO,Four-wheel drive,A,6
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,X,14.9,10.6,13.0,22,299,SILVERADO,Four-wheel drive,A,6
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,E,19.9,14.2,17.3,16,277,SILVERADO,Four-wheel drive,A,6
CHEVROLET,PICKUP TRUCK - STANDARD,6.2,8,Z,16.4,11.7,14.3,20,329,SILVERADO,Four-wheel drive,A,6
CHEVROLET,COMPACT,1.4,4,X,9.1,6.7,8.0,35,184,SONIC,Undefined,AS,6
CHEVROLET,COMPACT,1.4,4,X,8.5,6.2,7.5,38,173,SONIC,Undefined,M,6
CHEVROLET,COMPACT,1.8,4,X,9.6,6.6,8.3,34,191,SONIC,Undefined,AS,6
CHEVROLET,COMPACT,1.8,4,X,8.9,6.7,7.9,36,182,SONIC,Undefined,M,5
CHEVROLET,COMPACT,1.4,4,X,9.4,7.0,8.3,34,191,SONIC,Undefined,AS,6
CHEVROLET,COMPACT,1.4,4,X,8.8,7.0,8.0,35,184,SONIC,Undefined,M,6
CHEVROLET,MID-SIZE,1.4,4,X,9.1,6.7,8.0,35,184,SONIC,Undefined,AS,6
