Make,Model1,Model2,Vehicle Class,Transmission1,Transmission2,Fuel Type,Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Cluster,Make_Name,Cluster_Rank
3,381,11,13,0,5,4,5.2,10,18.2,10.6,14.8,19,347,2,AUDI,2
3,381,11,13,4,4,4,5.2,10,21.1,13.8,17.8,16,409,2,AUDI,2
3,395,11,10,0,5,4,4.2,8,15.3,10.9,13.3,21,306,2,AUDI,2
3,395,11,10,0,5,4,4.2,8,15.2,11.3,13.4,21,308,2,AUDI,2
3,395,11,2,2,6,4,4.0,8,15.5,8.8,12.5,23,293,2,AUDI,2
3,408,11,0,0,5,4,3.0,6,13.2,9.2,11.4,25,262,2,AUDI,2
3,408,11,0,4,4,4,3.0,6,14.6,9.8,12.4,23,285,2,AUDI,2
3,409,11,10,0,5,4,3.0,6,13.2,9.2,11.4,25,262,2,AUDI,2
3,409,11,10,4,4,4,3.0,6,14.6,9.8,12.4,23,285,2,AUDI,2
3,409,11,10,0,5,4,3.0,6,13.3,9.5,11.6,24,267,2,AUDI,2
3,410,11,2,0,5,4,4.0,8,14.2,9.7,12.2,23,281,2,AUDI,2
3,412,11,2,0,5,4,4.0,8,14.2,9.7,12.2,23,281,2,AUDI,2
3,413,11,2,2,6,4,4.0,8,15.8,9.2,12.8,22,300,2,AUDI,2
3,435,11,11,2,6,4,3.0,6,14.9,10.1,12.7,22,292,2,AUDI,2
3,472,11,10,0,4,4,2.0,4,10.4,7.6,9.1,31,209,2,AUDI,2
3,472,11,13,0,4,4,2.0,4,10.4,7.6,9.1,31,209,2,AUDI,2
3,473,11,10,0,4,4,2.0,4,11.5,8.8,10.3,27,237,2,AUDI,2
3,473,11,13,0,4,4,2.0,4,11.5,8.8,10.3,27,237,2,AUDI,2
4,104,11,10,2,6,4,4.0,8,16.3,9.8,13.4,21,314,3,BENTLEY,5
4,104,11,10,2,6,4,6.0,12,18.8,11.5,15.5,18,356,3,BENTLEY,5
4,104,11,10,2,6,4,4.0,8,17.4,10.2,14.2,20,332,3,BENTLEY,5
4,104,11,10,2,6,4,6.0,12,20.0,12.2,16.5,17,380,3,BENTLEY,5
4,104,11,10,2,6,4,6.0,12,20.0,12.2,16.5,17,380,3,BENTLEY,5
4,195,11,2,2,6,4,6.0,12,20.3,11.9,16.5,17,388,3,BENTLEY,5
4,309,11,2,2,6,4,6.8,8,22.3,14.9,19.0,15,437,3,BENTLEY,5
5,6,11,0,0,6,4,2.0,4,10.0,6.5,8.4,34,193,2,BMW,2
5,6,11,0,4,4,4,2.0,4,10.4,6.7,8.7,32,200,2,BMW,2
5,6,11,0,0,6,4,2.0,4,10.2,7.0,8.8,32,202,2,BMW,2
5,7,11,0,0,6,0,2.0,4,7.6,5.5,6.7,42,181,2,BMW,2
5,7,11,9,0,6,0,2.0,4,7.6,5.5,6.7,42,181,2,BMW,2
5,8,11,0,0,6,4,2.0,4,10.0,6.5,8.4,34,193,2,BMW,2
5,8,11,0,4,4,4,2.0,4,10.4,6.7,8.7,32,200,2,BMW,2
5,8,11,0,0,6,4,2.0,4,10.6,7.2,9.1,31,209,2,BMW,2
5,8,11,1,0,6,4,2.0,4,10.6,7.2,9.1,31,209,2,BMW,2
5,8,11,9,0,6,4,2.0,4,10.6,7.2,9.1,31,209,2,BMW,2
5,10,11,0,0,6,4,3.0,6,11.4,7.3,9.6,29,221,2,BMW,2
5,10,11,0,4,4,4,3.0,6,11.8,7.9,10.0,28,230,2,BMW,2
5,10,11,0,0,6,4,3.0,6,11.7,7.8,9.9,29,228,2,BMW,2
5,10,11,0,4,4,4,3.0,6,11.9,8.3,10.3,27,237,2,BMW,2
5,10,11,1,0,6,4,3.0,6,11.9,8.0,10.1,28,232,2,BMW,2
5,13,11,0,0,6,4,2.0,4,10.0,6.5,8.4,34,193,2,BMW,2
5,13,11,0,4,4,4,2.0,4,10.4,6.7,8.7,32,200,2,BMW,2
5,13,11,0,0,6,4,2.0,4,10.6,7.2,9.1,31,209,2,BMW,2
5,15,11,0,0,6,4,3.0,6,11.4,7.3,9.6,29,221,2,BMW,2
5,15,11,0,4,4,4,3.0,6,11.8,7.9,10.0,28,230,2,BMW,2
5,15,11,0,0,6,4,3.0,6,11.7,7.8,9.9,29,228,2,BMW,2
5,15,11,0,4,4,4,3.0,6,11.9,8.3,10.3,27,237,2,BMW,2
5,23,11,2,0,6,4,2.0,4,10.2,7.0,8.8,32,202,2,BMW,2
5,23,11,2,0,6,4,2.0,4,10.6,7.2,9.1,31,209,2,BMW,2
5,25,11,2,0,6,0,3.0,6,9.2,6.4,7.9,36,213,2,BMW,2
5,26,11,2,0,6,4,3.0,6,11.9,8.0,10.1,28,232,2,BMW,2
5,26,11,1,0,6,4,3.0,6,12.5,8.6,10.7,26,246,2,BMW,2
5,28,11,2,0,6,4,4.4,8,14.4,9.6,12.2,23,281,2,BMW,2
5,28,11,1,0,6,4,4.4,8,15.0,9.8,12.7,22,292,2,BMW,2
5,29,11,0,0,6,4,3.0,6,11.9,8.0,10.1,28,232,2,BMW,2
5,30,11,10,0,6,4,4.4,8,15.0,9.8,12.7,22,292,2,BMW,2
5,30,11,0,0,6,4,4.4,8,14.4,9.6,12.2,23,281,2,BMW,2
5,30,11,0,0,6,4,4.4,8,15.0,9.8,12.7,22,292,2,BMW,2
5,32,11,1,0,6,4,3.0,6,12.5,8.6,10.7,26,246,2,BMW,2
5,34,11,1,0,6,4,4.4,8,15.0,9.8,12.7,22,292,2,BMW,2
5,33,11,1,0,6,4,4.4,8,15.0,9.8,12.7,22,292,2,BMW,2
5,35,11,1,0,6,4,6.0,12,18.7,11.5,15.5,18,356,2,BMW,2
5,49,11,0,0,6,4,3.0,6,9.2,7.1,8.3,34,191,2,BMW,2
5,49,11,2,0,6,4,3.0,6,10.5,7.9,9.3,30,214,2,BMW,2
5,49,11,1,0,6,4,3.0,6,10.5,7.6,9.2,31,212,2,BMW,2
5,51,8,1,0,6,4,4.4,8,15.0,9.8,12.7,22,292,2,BMW,2
5,51,10,1,0,6,4,4.4,8,15.0,9.8,12.7,22,292,2,BMW,2
5,284,11,2,1,5,4,4.4,8,17.3,11.5,14.7,19,338,2,BMW,2
5,284,11,2,4,4,4,4.4,8,16.2,10.9,13.8,20,317,2,BMW,2
5,286,11,0,1,5,4,4.4,8,17.3,11.5,14.7,19,338,2,BMW,2
5,286,11,0,4,4,4,4.4,8,16.2,10.9,13.8,20,317,2,BMW,2
5,286,11,10,1,5,4,4.4,8,17.3,11.5,14.7,19,338,2,BMW,2
5,286,11,10,4,4,4,4.4,8,16.2,10.9,13.8,20,317,2,BMW,2
5,286,11,0,1,5,4,4.4,8,17.3,11.5,14.7,19,338,2,BMW,2
5,286,11,0,4,4,4,4.4,8,16.2,10.9,13.8,20,317,2,BMW,2
5,513,11,11,0,6,4,2.0,4,10.6,7.2,9.1,31,209,2,BMW,2
5,513,11,11,0,4,4,3.0,6,13.2,8.9,11.3,25,260,2,BMW,2
5,515,11,11,0,6,4,2.0,4,11.2,8.5,10.0,28,230,2,BMW,2
5,515,11,11,0,6,4,3.0,6,12.6,9.1,11.0,26,253,2,BMW,2
5,517,11,12,0,6,4,3.0,6,12.9,8.8,11.1,25,255,2,BMW,2
5,517,11,12,0,6,4,4.4,8,16.3,10.9,13.9,20,320,2,BMW,2
5,518,11,12,0,4,4,4.4,8,18.1,13.7,16.1,18,370,2,BMW,2
5,518,11,12,0,6,4,3.0,6,13.6,9.8,11.9,24,274,2,BMW,2
5,518,11,12,0,6,4,4.4,8,16.4,11.3,14.1,20,324,2,BMW,2
5,544,11,13,0,6,4,2.0,4,10.8,7.1,9.1,31,209,2,BMW,2
5,544,11,13,4,4,4,2.0,4,10.4,6.7,8.7,32,200,2,BMW,2
5,544,11,13,1,5,4,3.0,6,13.7,10.1,12.1,23,278,2,BMW,2
5,544,11,13,4,4,4,3.0,6,12.7,9.0,11.0,26,253,2,BMW,2
5,544,11,13,1,5,4,3.0,6,13.7,10.1,12.1,23,278,2,BMW,2
7,164,11,12,0,4,3,3.6,6,14.3,9.9,12.3,23,283,2,BUICK,2
7,164,0,12,0,4,3,3.6,6,14.6,10.2,12.6,22,290,2,BUICK,2
7,165,11,11,2,4,3,1.4,4,9.5,7.2,8.5,33,196,2,BUICK,2
7,165,0,11,2,4,3,1.4,4,10.2,8.0,9.2,31,212,2,BUICK,2
7,266,11,2,2,4,3,3.6,6,13.7,8.7,11.5,25,264,2,BUICK,2
7,266,11,2,2,4,1,3.6,6,18.4,12.2,15.6,18,250,2,BUICK,2
7,266,0,2,2,4,3,3.6,6,13.7,8.9,11.5,25,264,2,BUICK,2
7,266,0,2,2,4,1,3.6,6,19.4,13.0,16.5,17,264,2,BUICK,2
7,266,11,2,2,4,3,2.4,4,9.6,6.5,8.2,34,189,2,BUICK,2
7,387,11,2,2,4,4,2.0,4,11.5,7.9,9.9,29,228,2,BUICK,2
7,387,11,2,4,4,4,2.0,4,11.6,7.5,9.8,29,225,2,BUICK,2
7,387,0,2,2,4,4,2.0,4,12.3,8.7,10.7,26,246,2,BUICK,2
7,387,11,2,2,4,3,2.4,4,9.6,6.5,8.2,34,189,2,BUICK,2
7,499,11,0,2,4,4,2.0,4,11.5,7.9,9.9,29,228,2,BUICK,2
7,499,11,0,4,4,4,2.0,4,11.6,7.5,9.8,29,225,2,BUICK,2
7,499,11,0,2,4,3,2.4,4,11.3,7.4,9.5,30,218,2,BUICK,2
8,56,11,0,2,4,4,2.0,4,11.3,7.5,9.6,29,221,0,CADILLAC,3
8,56,11,0,4,4,4,2.0,4,12.1,7.9,10.2,28,235,0,CADILLAC,3
8,56,11,0,2,4,3,2.5,4,10.5,7.2,9.0,31,207,0,CADILLAC,3
8,56,11,0,2,4,3,3.6,6,12.8,8.5,10.9,26,251,0,CADILLAC,3
8,56,0,0,2,4,4,2.0,4,11.8,8.1,10.1,28,232,0,CADILLAC,3
8,56,0,0,2,4,3,3.6,6,13.1,9.0,11.3,25,260,0,CADILLAC,3
8,119,11,2,2,4,3,3.6,6,13.2,8.7,11.2,25,258,0,CADILLAC,3
8,119,0,2,2,4,3,3.6,6,13.3,9.0,11.4,25,262,0,CADILLAC,3
8,119,11,2,2,4,4,2.0,4,11.9,7.9,10.1,28,232,0,CADILLAC,3
8,119,11,2,2,6,3,3.6,6,12.9,8.2,10.8,26,248,0,CADILLAC,3
8,119,0,2,2,4,4,2.0,4,12.6,8.5,10.8,26,248,0,CADILLAC,3
8,119,0,2,2,4,3,3.6,6,13.1,9.0,11.3,25,260,0,CADILLAC,3
8,119,11,2,2,6,4,3.6,6,15.1,9.9,12.8,22,294,0,CADILLAC,3
8,119,11,9,2,4,3,3.0,6,12.7,8.9,11.0,26,253,0,CADILLAC,3
8,119,11,9,2,4,3,3.6,6,13.3,8.9,11.3,25,260,0,CADILLAC,3
8,119,0,9,2,4,3,3.0,6,12.8,9.1,11.1,25,255,0,CADILLAC,3
8,119,0,9,2,4,3,3.6,6,13.3,9.0,11.4,25,262,0,CADILLAC,3
8,120,11,2,2,4,4,6.2,8,19.7,12.9,16.6,17,382,0,CADILLAC,3
8,120,11,2,4,4,4,6.2,8,16.7,12.5,14.8,19,340,0,CADILLAC,3
8,120,11,2,2,4,4,6.2,8,19.7,12.9,16.6,17,382,0,CADILLAC,3
8,120,11,2,4,4,4,6.2,8,16.7,12.5,14.8,19,340,0,CADILLAC,3
8,120,11,9,2,4,4,6.2,8,19.7,12.9,16.6,17,382,0,CADILLAC,3
8,120,11,9,4,4,4,6.2,8,16.7,12.5,14.8,19,340,0,CADILLAC,3
8,171,0,12,0,4,4,6.2,8,17.0,11.8,14.7,19,338,0,CADILLAC,3
8,171,0,12,0,4,1,6.2,8,23.3,16.1,20.1,14,322,0,CADILLAC,3
8,171,0,12,0,4,4,6.2,8,18.8,13.4,16.4,17,377,0,CADILLAC,3
8,171,0,12,0,4,1,6.2,8,25.7,17.8,22.1,13,354,0,CADILLAC,3
8,436,11,12,2,4,3,3.6,6,14.3,9.8,12.3,23,283,0,CADILLAC,3
8,436,0,12,2,4,3,3.6,6,14.8,10.4,12.8,22,294,0,CADILLAC,3
8,538,11,1,2,4,3,3.6,6,13.6,8.6,11.4,25,262,0,CADILLAC,3
8,538,0,1,2,4,3,3.6,6,14.0,9.1,11.8,24,271,0,CADILLAC,3
8,538,0,1,2,4,4,3.6,6,14.8,9.8,12.6,22,290,0,CADILLAC,3
9,86,11,0,2,4,3,3.6,6,13.2,8.7,11.2,25,258,4,CHEVROLET,4
9,86,11,0,4,4,3,3.6,6,14.2,8.6,11.7,24,269,4,CHEVROLET,4
9,86,11,0,2,4,3,3.6,6,12.7,7.9,10.5,27,242,4,CHEVROLET,4
9,86,11,0,2,4,4,6.2,8,15.3,9.8,12.8,22,294,4,CHEVROLET,4
9,86,11,0,4,4,4,6.2,8,15.0,9.9,12.7,22,292,4,CHEVROLET,4
9,86,11,0,2,4,4,6.2,8,19.7,12.9,16.6,17,382,4,CHEVROLET,4
9,86,11,0,4,4,4,6.2,8,16.7,12.5,14.8,19,340,4,CHEVROLET,4
9,107,11,13,2,4,4,6.2,8,14.9,8.5,12.0,24,276,4,CHEVROLET,4
9,107,11,13,4,5,4,6.2,8,13.7,8.2,11.2,25,258,4,CHEVROLET,4
9,112,11,2,2,4,3,1.4,4,9.1,6.3,7.8,36,179,4,CHEVROLET,4
9,112,11,2,4,4,3,1.4,4,9.1,6.3,7.8,36,179,4,CHEVROLET,4
9,112,11,2,2,4,3,1.8,4,10.5,6.7,8.8,32,202,4,CHEVROLET,4
9,112,11,2,4,4,3,1.8,4,9.5,6.5,8.2,34,189,4,CHEVROLET,4
9,112,11,2,2,4,0,2.0,4,8.7,5.1,7.1,40,192,4,CHEVROLET,4
9,112,11,2,0,4,3,1.4,4,9.1,6.0,7.7,37,177,4,CHEVROLET,4
9,112,11,2,4,4,3,1.4,4,8.4,5.6,7.1,40,163,4,CHEVROLET,4
9,168,11,11,0,4,3,2.4,4,10.5,7.3,9.1,31,209,4,CHEVROLET,4
9,168,11,11,0,4,3,3.6,6,13.9,9.6,12.0,24,276,4,CHEVROLET,4
9,168,11,11,0,4,1,3.6,6,18.8,13.1,16.2,17,259,4,CHEVROLET,4
9,168,0,11,0,4,3,2.4,4,11.5,8.2,10.0,28,230,4,CHEVROLET,4
9,168,0,11,0,4,3,3.6,6,14.8,9.9,12.6,22,290,4,CHEVROLET,4
9,168,0,11,0,4,1,3.6,6,19.8,13.6,17.0,17,272,4,CHEVROLET,4
9,175,11,14,0,2,3,4.3,6,17.1,12.7,15.1,19,347,4,CHEVROLET,4
9,175,11,14,0,2,3,5.3,8,18.0,13.4,15.9,18,366,4,CHEVROLET,4
9,175,11,14,0,2,1,5.3,8,23.5,17.7,20.9,14,334,4,CHEVROLET,4
9,175,0,14,0,2,3,5.3,8,18.3,14.2,16.5,17,380,4,CHEVROLET,4
9,175,0,14,0,2,1,5.3,8,23.7,18.8,21.5,13,344,4,CHEVROLET,4
9,175,11,14,0,2,3,5.3,8,18.6,13.9,16.5,17,380,4,CHEVROLET,4
9,175,11,14,0,2,1,5.3,8,23.9,18.5,21.5,13,344,4,CHEVROLET,4
9,175,0,14,0,2,3,5.3,8,18.3,14.2,16.5,17,380,4,CHEVROLET,4
9,175,0,14,0,2,1,5.3,8,25.3,19.3,22.6,12,362,4,CHEVROLET,4
9,175,11,15,0,2,3,5.3,8,18.6,13.9,16.5,17,380,4,CHEVROLET,4
9,175,11,15,0,2,1,5.3,8,23.9,18.5,21.5,13,344,4,CHEVROLET,4
9,175,0,15,0,2,3,5.3,8,18.3,14.2,16.5,17,380,4,CHEVROLET,4
9,175,0,15,0,2,1,5.3,8,25.3,19.3,22.6,12,362,4,CHEVROLET,4
9,175,11,15,0,4,3,4.8,8,21.1,14.2,18.0,16,414,4,CHEVROLET,4
9,175,11,15,0,4,3,6.0,8,21.9,15.0,18.8,15,432,4,CHEVROLET,4
9,175,11,15,0,4,1,6.0,8,30.0,20.4,25.7,11,411,4,CHEVROLET,4
9,175,11,15,0,4,3,4.8,8,21.3,14.3,18.2,16,419,4,CHEVROLET,4
9,175,11,15,0,4,3,6.0,8,22.1,15.0,18.9,15,435,4,CHEVROLET,4
9,175,11,15,0,4,1,6.0,8,30.2,20.5,25.8,11,413,4,CHEVROLET,4
9,247,11,1,2,4,3,2.5,4,11.3,7.5,9.6,29,221,4,CHEVROLET,4
9,247,11,1,2,4,3,3.6,6,12.6,8.2,10.6,27,244,4,CHEVROLET,4
9,247,11,1,2,4,1,3.6,6,16.7,11.3,14.3,20,229,4,CHEVROLET,4
9,247,11,1,2,4,3,2.4,4,10.0,7.0,8.7,32,200,4,CHEVROLET,4
9,292,11,2,2,4,4,2.0,4,11.5,7.9,9.9,29,228,4,CHEVROLET,4
9,292,11,2,2,4,3,2.5,4,9.3,6.4,8.0,35,184,4,CHEVROLET,4
9,336,11,11,2,4,3,2.4,4,12.2,8.6,10.6,27,244,4,CHEVROLET,4
9,336,11,11,4,4,3,2.4,4,11.8,8.3,10.2,28,235,4,CHEVROLET,4
9,424,11,6,0,4,3,4.3,6,13.4,9.9,11.8,24,271,4,CHEVROLET,4
9,424,11,6,0,4,1,4.3,6,18.9,14.2,16.8,17,269,4,CHEVROLET,4
9,424,11,6,0,4,3,5.3,8,14.6,10.3,12.7,22,292,4,CHEVROLET,4
9,424,11,6,0,4,1,5.3,8,19.5,13.7,16.9,17,270,4,CHEVROLET,4
9,424,11,6,0,4,4,6.2,8,16.3,11.4,14.1,20,324,4,CHEVROLET,4
9,424,6,6,0,4,3,4.3,6,14.2,10.6,12.6,22,290,4,CHEVROLET,4
9,424,6,6,0,4,1,4.3,6,20.0,15.1,17.8,16,285,4,CHEVROLET,4
9,424,6,6,0,4,3,5.3,8,14.9,10.6,13.0,22,299,4,CHEVROLET,4
9,424,6,6,0,4,1,5.3,8,19.9,14.2,17.3,16,277,4,CHEVROLET,4
9,424,6,6,0,4,4,6.2,8,16.4,11.7,14.3,20,329,4,CHEVROLET,4
9,430,11,0,2,4,3,1.4,4,9.1,6.7,8.0,35,184,4,CHEVROLET,4
9,430,11,0,4,4,3,1.4,4,8.5,6.2,7.5,38,173,4,CHEVROLET,4
9,430,11,0,2,4,3,1.8,4,9.6,6.6,8.3,34,191,4,CHEVROLET,4
9,430,11,0,4,3,3,1.8,4,8.9,6.7,7.9,36,182,4,CHEVROLET,4
9,430,11,0,2,4,3,1.4,4,9.4,7.0,8.3,34,191,4,CHEVROLET,4
9,430,11,0,4,4,3,1.4,4,8.8,7.0,8.0,35,184,4,CHEVROLET,4
9,430,11,2,2,4,3,1.4,4,9.1,6.7,8.0,35,184,4,CHEVROLET,4
9,430,11,2,4,4,3,1.4,4,8.5,6.2,7.5,38,172,4,CHEVROLET,4
9,430,11,2,2,4,3,1.8,4,9.6,6.6,8.3,34,191,4,CHEVROLET,4
9,430,11,2,4,3,3,1.8,4,8.9,6.7,7.9,36,182,4,CHEVROLET,4
9,430,11,2,2,4,3,1.4,4,9.4,7.0,8.3,34,191,4,CHEVROLET,4
9,430,11,2,4,4,3,1.4,4,8.8,7.0,8.0,35,184,4,CHEVROLET,4
9,433,11,10,3,0,3,1.2,4,7.7,6.0,6.9,41,159,4,CHEVROLET,4
9,433,11,10,4,3,3,1.2,4,7.6,6.0,6.9,41,159,4,CHEVROLET,4
9,439,11,12,0,4,3,5.3,8,16.0,11.1,13.8,20,317,4,CHEVROLET,4
9,439,11,12,0,4,1,5.3,8,21.5,14.6,18.4,15,294,4,CHEVROLET,4
9,439,6,12,0,4,3,5.3,8,16.0,11.1,13.8,20,317,4,CHEVROLET,4
9,439,6,12,0,4,1,5.3,8,21.5,14.6,18.4,15,294,4,CHEVROLET,4
9,458,11,12,0,4,3,5.3,8,16.0,11.1,13.8,20,317,4,CHEVROLET,4
9,458,11,12,0,4,1,5.3,8,21.5,14.6,18.4,15,294,4,CHEVROLET,4
9,458,6,12,0,4,3,5.3,8,16.0,11.1,13.8,20,317,4,CHEVROLET,4
9,458,6,12,0,4,1,5.3,8,21.5,14.6,18.4,15,294,4,CHEVROLET,4
9,468,11,12,0,4,3,3.6,6,14.3,9.9,12.3,23,283,4,CHEVROLET,4
9,468,0,12,0,4,3,3.6,6,14.6,10.2,12.6,22,290,4,CHEVROLET,4
9,469,11,11,2,4,3,1.4,4,9.4,7.1,8.4,34,193,4,CHEVROLET,4
9,469,11,11,4,4,3,1.4,4,9.1,6.8,8.1,35,186,4,CHEVROLET,4
9,469,0,11,2,4,3,1.4,4,10.0,7.8,9.0,31,207,4,CHEVROLET,4
10,5,11,1,0,6,3,3.6,6,12.4,7.7,10.3,27,237,0,CHRYSLER,3
10,2,11,0,0,2,3,2.4,4,11.7,8.2,10.1,28,232,0,CHRYSLER,3
10,2,11,0,0,4,3,2.4,4,12.9,8.1,10.7,26,246,0,CHRYSLER,3
10,2,3,0,0,4,3,3.6,6,12.5,8.1,10.5,27,242,0,CHRYSLER,3
10,2,3,0,0,4,1,3.6,6,17.0,11.2,14.4,20,230,0,CHRYSLER,3
10,2,11,2,0,2,3,2.4,4,11.2,8.0,9.8,29,225,0,CHRYSLER,3
10,2,11,2,0,4,3,2.4,4,12.0,7.6,10.0,28,230,0,CHRYSLER,3
10,2,3,2,0,4,3,3.6,6,12.5,8.1,10.5,27,242,0,CHRYSLER,3
10,2,3,2,0,4,1,3.6,6,17.0,11.2,14.4,20,230,0,CHRYSLER,3
10,5,11,1,0,3,3,5.7,8,15.8,9.2,12.8,22,294,0,CHRYSLER,3
10,5,0,1,0,6,3,3.6,6,12.8,8.6,10.9,26,251,0,CHRYSLER,3
10,5,0,1,0,3,3,5.7,8,16.1,10.0,13.4,21,308,0,CHRYSLER,3
10,5,1,1,0,6,3,3.6,6,12.8,8.6,10.9,26,251,0,CHRYSLER,3
10,5,1,1,0,6,1,3.6,6,17.3,11.7,14.8,19,237,0,CHRYSLER,3
10,5,3,1,0,6,3,3.6,6,12.4,7.7,10.3,27,237,0,CHRYSLER,3
10,5,3,1,0,6,1,3.6,6,16.8,10.3,13.9,20,222,0,CHRYSLER,3
10,5,11,1,0,3,4,6.4,8,16.7,10.3,13.8,20,317,0,CHRYSLER,3
10,466,3,4,0,4,3,3.6,6,14.1,9.5,12.0,24,276,0,CHRYSLER,3
10,466,3,4,0,4,1,3.6,6,19.7,13.3,16.8,17,269,0,CHRYSLER,3
11,59,11,2,0,2,3,2.4,4,11.2,8.0,9.8,29,225,0,DODGE,3
11,59,11,2,0,4,3,2.4,4,12.0,7.6,10.0,28,230,0,DODGE,3
11,59,3,2,0,4,3,3.6,6,12.5,8.1,10.5,27,242,0,DODGE,3
